Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ESE","ESCO TECHNOLOGIES INC","Industrie","Aktien","1.596.518,88","0,04","1.596.518,88","13.539,00","117,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HIMS","HIMS HERS HEALTH INC CLASS A","Gesundheitsversorgung","Aktien","1.596.595,88","0,04","1.596.595,88","82.214,00","19,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FRME","FIRST MERCHANTS CORP","Financials","Aktien","1.596.348,16","0,04","1.596.348,16","41.228,00","38,72","Vereinigte Staaten","NASDAQ","USD"
"CADE","CADENCE BANK","Financials","Aktien","1.595.405,75","0,04","1.595.405,75","50.249,00","31,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CORT","CORCEPT THERAPEUTICS INC","Gesundheitsversorgung","Aktien","1.593.749,08","0,04","1.593.749,08","47.041,00","33,88","Vereinigte Staaten","NASDAQ","USD"
"PCH","POTLATCHDELTIC CORP","Immobilien","Aktien","1.589.235,00","0,04","1.589.235,00","37.875,00","41,96","Vereinigte Staaten","NASDAQ","USD"
"JMAT","JOHNSON MATTHEY PLC","Materialien","Aktien","1.589.018,34","0,04","1.589.018,34","72.967,00","21,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"CATY","CATHAY GENERAL BANCORP","Financials","Aktien","1.578.780,00","0,04","1.578.780,00","37.590,00","42,00","Vereinigte Staaten","NASDAQ","USD"
"8984","DAIWA HOUSE REIT CORP","Immobilien","Aktien","1.578.987,51","0,04","1.578.987,51","1.014,00","1.557,19","Japan","Tokyo Stock Exchange","JPY"
"4980","DEXERIALS CORP","IT","Aktien","1.578.601,07","0,04","1.578.601,07","33.200,00","47,55","Japan","Tokyo Stock Exchange","JPY"
"MTX","MINERALS TECHNOLOGIES INC","Materialien","Aktien","1.578.129,86","0,04","1.578.129,86","18.527,00","85,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IRDM","IRIDIUM COMMUNICATIONS INC","Kommunikation","Aktien","1.577.481,39","0,04","1.577.481,39","61.119,00","25,81","Vereinigte Staaten","NASDAQ","USD"
"ZI","ZOOMINFO TECHNOLOGIES INC","Kommunikation","Aktien","1.576.081,05","0,04","1.576.081,05","137.649,00","11,45","Vereinigte Staaten","NASDAQ","USD"
"HBR","HARBOUR ENERGY PLC","Energie","Aktien","1.575.608,98","0,04","1.575.608,98","404.055,00","3,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"7731","NIKON CORP","Zyklische Konsumgüter ","Aktien","1.572.766,71","0,04","1.572.766,71","142.500,00","11,04","Japan","Tokyo Stock Exchange","JPY"
"GTES","GATES INDUSTRIAL PLC","Industrie","Aktien","1.568.790,86","0,04","1.568.790,86","90.734,00","17,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXSM","AXSOME THERAPEUTICS INC","Gesundheitsversorgung","Aktien","1.568.112,85","0,04","1.568.112,85","18.481,00","84,85","Vereinigte Staaten","NASDAQ","USD"
"CCCS","CCC INTELLIGENT SOLUTIONS HOLDINGS","IT","Aktien","1.564.093,44","0,04","1.564.093,44","139.776,00","11,19","Vereinigte Staaten","NASDAQ","USD"
"PLUS","PLUS500 LTD","Financials","Aktien","1.561.197,49","0,04","1.561.197,49","53.911,00","28,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"IRTC","IRHYTHM TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","1.559.569,26","0,04","1.559.569,26","15.758,00","98,97","Vereinigte Staaten","NASDAQ","USD"
"GVA","GRANITE CONSTRUCTION INC","Industrie","Aktien","1.557.333,30","0,04","1.557.333,30","24.126,00","64,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Zyklische Konsumgüter ","Aktien","1.556.374,12","0,04","1.556.374,12","17.618,00","88,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FBP","FIRST BANCORP","Financials","Aktien","1.554.490,70","0,04","1.554.490,70","75.278,00","20,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NARI","INARI MEDICAL INC","Gesundheitsversorgung","Aktien","1.554.493,50","0,04","1.554.493,50","28.315,00","54,90","Vereinigte Staaten","NASDAQ","USD"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Industrie","Aktien","1.550.114,06","0,04","1.550.114,06","15.334,00","101,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GFTU","GRAFTON GROUP PLC","Industrie","Aktien","1.548.253,32","0,04","1.548.253,32","117.516,00","13,17","Vereinigtes Königreich","London Stock Exchange","GBP"
"PENN","PENN ENTERTAINMENT INC","Zyklische Konsumgüter ","Aktien","1.546.734,84","0,04","1.546.734,84","83.517,00","18,52","Vereinigte Staaten","NASDAQ","USD"
"REZI","RESIDEO TECHNOLOGIES INC","Industrie","Aktien","1.546.065,00","0,04","1.546.065,00","72.756,00","21,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BGC","BGC GROUP INC CLASS A","Financials","Aktien","1.545.619,75","0,04","1.545.619,75","161.845,00","9,55","Vereinigte Staaten","NASDAQ","USD"
"4732","USS LTD","Zyklische Konsumgüter ","Aktien","1.545.784,47","0,04","1.545.784,47","175.600,00","8,80","Japan","Tokyo Stock Exchange","JPY"
"FPE3","FUCHS PREF","Materialien","Aktien","1.544.805,65","0,04","1.544.805,65","35.078,00","44,04","Deutschland","Xetra","EUR"
"2181","PERSOL HOLDINGS LTD","Industrie","Aktien","1.543.772,40","0,04","1.543.772,40","949.900,00","1,63","Japan","Tokyo Stock Exchange","JPY"
"NWE","NORTHWESTERN ENERGY GROUP INC","Versorger","Aktien","1.542.973,10","0,04","1.542.973,10","29.362,00","52,55","Vereinigte Staaten","NASDAQ","USD"
"CWT","CALIFORNIA WATER SERVICE GROUP","Versorger","Aktien","1.539.833,64","0,04","1.539.833,64","29.738,00","51,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9142","KYUSHU RAILWAY","Industrie","Aktien","1.539.452,76","0,04","1.539.452,76","65.800,00","23,40","Japan","Tokyo Stock Exchange","JPY"
"ALRM","ALARM.COM HOLDINGS INC","IT","Aktien","1.538.504,11","0,04","1.538.504,11","22.891,00","67,21","Vereinigte Staaten","NASDAQ","USD"
"CRVL","CORVEL CORP","Gesundheitsversorgung","Aktien","1.538.117,10","0,04","1.538.117,10","5.410,00","284,31","Vereinigte Staaten","NASDAQ","USD"
"IPGP","IPG PHOTONICS CORP","IT","Aktien","1.537.620,01","0,04","1.537.620,01","17.467,00","88,03","Vereinigte Staaten","NASDAQ","USD"
"CDE","COEUR MINING INC","Materialien","Aktien","1.532.715,75","0,04","1.532.715,75","243.675,00","6,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SQSP","SQUARESPACE INC CLASS A","IT","Aktien","1.530.410,56","0,04","1.530.410,56","34.909,00","43,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AGYS","AGILYSYS INC","IT","Aktien","1.528.760,97","0,04","1.528.760,97","14.167,00","107,91","Vereinigte Staaten","NASDAQ","USD"
"LIGHT","SIGNIFY NV","Industrie","Aktien","1.528.401,15","0,04","1.528.401,15","59.723,00","25,59","Niederlande","Euronext Amsterdam","EUR"
"CDP","COPT DEFENSE PROPERTIES","Immobilien","Aktien","1.525.188,88","0,04","1.525.188,88","57.166,00","26,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4403","NOF CORP","Materialien","Aktien","1.525.092,95","0,04","1.525.092,95","104.100,00","14,65","Japan","Tokyo Stock Exchange","JPY"
"PDN","PALADIN ENERGY LTD","Energie","Aktien","1.518.609,58","0,04","1.518.609,58","179.337,00","8,47","Australien","Asx - All Markets","AUD"
"DRX","DRAX GROUP PLC","Versorger","Aktien","1.515.882,31","0,04","1.515.882,31","208.270,00","7,28","Vereinigtes Königreich","London Stock Exchange","GBP"
"FNOX","FORTNOX","IT","Aktien","1.515.783,68","0,04","1.515.783,68","252.077,00","6,01","Schweden","Nasdaq Omx Nordic","SEK"
"URBN","URBAN OUTFITTERS INC","Zyklische Konsumgüter ","Aktien","1.515.521,63","0,04","1.515.521,63","32.641,00","46,43","Vereinigte Staaten","NASDAQ","USD"
"SFR","SANDFIRE RESOURCES LTD","Materialien","Aktien","1.509.738,77","0,04","1.509.738,77","270.427,00","5,58","Australien","Asx - All Markets","AUD"
"MLSR","MELISRON LTD","Immobilien","Aktien","1.509.043,80","0,04","1.509.043,80","19.894,00","75,85","Israel","Tel Aviv Stock Exchange","ILS"
"CARG","CARGURUS INC CLASS A","Kommunikation","Aktien","1.508.610,96","0,04","1.508.610,96","58.428,00","25,82","Vereinigte Staaten","NASDAQ","USD"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrie","Aktien","1.508.372,10","0,04","1.508.372,10","71.930,00","20,97","Vereinigte Staaten","NASDAQ","USD"
"UNF","UNIFIRST CORP","Industrie","Aktien","1.506.118,40","0,04","1.506.118,40","8.128,00","185,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8252","MARUI GROUP LTD","Financials","Aktien","1.502.319,26","0,04","1.502.319,26","98.200,00","15,30","Japan","Tokyo Stock Exchange","JPY"
"SES","SECURE ENERGY SERVICES INC","Energie","Aktien","1.502.405,84","0,04","1.502.405,84","177.910,00","8,44","Kanada","Toronto Stock Exchange","CAD"
"APLE","APPLE HOSPITALITY REIT INC","Immobilien","Aktien","1.498.419,59","0,04","1.498.419,59","100.363,00","14,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BE","BLOOM ENERGY CLASS A CORP","Industrie","Aktien","1.490.133,66","0,04","1.490.133,66","105.087,00","14,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNXC","CONCENTRIX CORP","Industrie","Aktien","1.489.863,60","0,04","1.489.863,60","22.280,00","66,87","Vereinigte Staaten","NASDAQ","USD"
"AMED","AMEDISYS INC","Gesundheitsversorgung","Aktien","1.488.595,20","0,04","1.488.595,20","15.252,00","97,60","Vereinigte Staaten","NASDAQ","USD"
"CRC","CALIFORNIA RESOURCES CORP","Energie","Aktien","1.487.582,52","0,04","1.487.582,52","28.668,00","51,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5938","LIXIL CORP","Industrie","Aktien","1.487.491,66","0,04","1.487.491,66","130.200,00","11,42","Japan","Tokyo Stock Exchange","JPY"
"VIRT","VIRTU FINANCIAL INC CLASS A","Financials","Aktien","1.487.560,80","0,04","1.487.560,80","50.460,00","29,48","Vereinigte Staaten","NASDAQ","USD"
"FHI","FEDERATED HERMES INC CLASS B","Financials","Aktien","1.485.894,96","0,04","1.485.894,96","43.032,00","34,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RDW","REDROW PLC","Zyklische Konsumgüter ","Aktien","1.485.793,73","0,04","1.485.793,73","164.447,00","9,04","Vereinigtes Königreich","London Stock Exchange","GBP"
"APLS","APELLIS PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","1.485.207,90","0,04","1.485.207,90","39.105,00","37,98","Vereinigte Staaten","NASDAQ","USD"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","IT","Aktien","1.484.548,29","0,04","1.484.548,29","31.077,00","47,77","Vereinigte Staaten","NASDAQ","USD"
"HESM","HESS MIDSTREAM CLASS A","Energie","Aktien","1.484.098,00","0,04","1.484.098,00","38.548,00","38,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UFPT","UFP TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","1.483.923,20","0,04","1.483.923,20","4.744,00","312,80","Vereinigte Staaten","NASDAQ","USD"
"ARB","ARB CORPORATION LTD","Zyklische Konsumgüter ","Aktien","1.483.209,80","0,04","1.483.209,80","54.940,00","27,00","Australien","Asx - All Markets","AUD"
"BC","BRUNELLO CUCINELLI","Zyklische Konsumgüter ","Aktien","1.482.292,13","0,04","1.482.292,13","15.892,00","93,27","Italien","Borsa Italiana","EUR"
"7747","ASAHI INTECC LTD","Gesundheitsversorgung","Aktien","1.480.398,51","0,04","1.480.398,51","93.000,00","15,92","Japan","Tokyo Stock Exchange","JPY"
"M44U","MAPLETREE LOGISTICS TRUST UNITS","Immobilien","Aktien","1.480.353,98","0,04","1.480.353,98","1.463.700,00","1,01","Singapur","Singapore Exchange","SGD"
"DOM","DOMETIC GROUPINARY SHARES","Zyklische Konsumgüter ","Aktien","1.478.462,90","0,04","1.478.462,90","213.899,00","6,91","Schweden","Nasdaq Omx Nordic","SEK"
"AGIO","AGIOS PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","1.477.770,05","0,04","1.477.770,05","31.705,00","46,61","Vereinigte Staaten","NASDAQ","USD"
"FIBK","FIRST INTERSTATE BANCSYSTEM INC","Financials","Aktien","1.477.700,68","0,04","1.477.700,68","47.423,00","31,16","Vereinigte Staaten","NASDAQ","USD"
"BTE","BAYTEX ENERGY CORP","Energie","Aktien","1.473.061,20","0,04","1.473.061,20","397.973,00","3,70","Kanada","Toronto Stock Exchange","CAD"
"QS","QUANTUMSCAPE CORP CLASS A","Zyklische Konsumgüter ","Aktien","1.472.180,36","0,04","1.472.180,36","181.303,00","8,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IDR","INDRA SISTEMAS SA","IT","Aktien","1.470.496,85","0,04","1.470.496,85","69.070,00","21,29","Spanien","Bolsa De Madrid","EUR"
"4203","SUMITOMO BAKELITE LTD","Materialien","Aktien","1.469.928,50","0,04","1.469.928,50","51.600,00","28,49","Japan","Tokyo Stock Exchange","JPY"
"KOS","KOSMOS ENERGY LTD","Energie","Aktien","1.467.782,40","0,04","1.467.782,40","262.104,00","5,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BWIN","BALDWIN INSURANCE GROUP INC CLASS","Financials","Aktien","1.464.057,22","0,04","1.464.057,22","36.574,00","40,03","Vereinigte Staaten","NASDAQ","USD"
"HEM","HEMNET GROUP","Kommunikation","Aktien","1.464.053,68","0,04","1.464.053,68","39.289,00","37,26","Schweden","Nasdaq Omx Nordic","SEK"
"AWR","AMERICAN STATES WATER","Versorger","Aktien","1.463.561,76","0,04","1.463.561,76","18.498,00","79,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LIVN","LIVANOVA PLC","Gesundheitsversorgung","Aktien","1.462.961,50","0,04","1.462.961,50","27.650,00","52,91","Vereinigte Staaten","NASDAQ","USD"
"AI","C3 AI INC CLASS A","IT","Aktien","1.459.154,73","0,04","1.459.154,73","52.431,00","27,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MYRG","MYR GROUP INC","Industrie","Aktien","1.457.611,50","0,04","1.457.611,50","10.275,00","141,86","Vereinigte Staaten","NASDAQ","USD"
"THULE","THULE GROUP","Zyklische Konsumgüter ","Aktien","1.456.199,08","0,04","1.456.199,08","52.741,00","27,61","Schweden","Nasdaq Omx Nordic","SEK"
"8963","INVINCIBLE INVESTMENT REIT CORP","Immobilien","Aktien","1.455.823,56","0,04","1.455.823,56","3.460,00","420,76","Japan","Tokyo Stock Exchange","JPY"
"BBIO","BRIDGEBIO PHARMA INC","Gesundheitsversorgung","Aktien","1.455.404,49","0,04","1.455.404,49","55.571,00","26,19","Vereinigte Staaten","NASDAQ","USD"
"CWK","CRANSWICK PLC","Nichtzyklische Konsumgüter","Aktien","1.452.873,75","0,04","1.452.873,75","24.996,00","58,12","Vereinigtes Königreich","London Stock Exchange","GBP"
"FTDR","FRONTDOOR INC","Zyklische Konsumgüter ","Aktien","1.452.711,40","0,04","1.452.711,40","39.605,00","36,68","Vereinigte Staaten","NASDAQ","USD"
"VSH","VISHAY INTERTECHNOLOGY INC","IT","Aktien","1.452.859,85","0,04","1.452.859,85","61.745,00","23,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GHC","GRAHAM HOLDINGS COMPANY CLASS B","Zyklische Konsumgüter ","Aktien","1.451.785,50","0,04","1.451.785,50","1.899,00","764,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EBO","EBOS GROUP LTD","Gesundheitsversorgung","Aktien","1.450.484,05","0,04","1.450.484,05","69.274,00","20,94","Neuseeland","New Zealand Exchange Ltd","NZD"
"IP","INTERPUMP GROUP","Industrie","Aktien","1.449.975,97","0,04","1.449.975,97","31.732,00","45,69","Italien","Borsa Italiana","EUR"
"STEP","STEPSTONE GROUP INC CLASS A","Financials","Aktien","1.449.210,24","0,04","1.449.210,24","29.856,00","48,54","Vereinigte Staaten","NASDAQ","USD"
"KEMIRA","KEMIRA","Materialien","Aktien","1.448.123,10","0,04","1.448.123,10","64.427,00","22,48","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ARCB","ARCBEST CORP","Industrie","Aktien","1.445.946,96","0,04","1.445.946,96","12.102,00","119,48","Vereinigte Staaten","NASDAQ","USD"
"4042","TOSOH CORP","Materialien","Aktien","1.446.114,98","0,04","1.446.114,98","108.500,00","13,33","Japan","Tokyo Stock Exchange","JPY"
"VC","VISTEON CORP","Zyklische Konsumgüter ","Aktien","1.443.589,56","0,04","1.443.589,56","13.374,00","107,94","Vereinigte Staaten","NASDAQ","USD"
"BTU","PEABODY ENERGY CORP","Energie","Aktien","1.441.079,22","0,04","1.441.079,22","62.574,00","23,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8359","HACHIJUNI BANK LTD","Financials","Aktien","1.439.064,10","0,04","1.439.064,10","211.900,00","6,79","Japan","Tokyo Stock Exchange","JPY"
"CBU","COMMUNITY FINANCIAL SYSTEM INC","Financials","Aktien","1.437.863,40","0,04","1.437.863,40","24.516,00","58,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8334","GUNMA BANK LTD","Financials","Aktien","1.436.682,87","0,04","1.436.682,87","222.700,00","6,45","Japan","Tokyo Stock Exchange","JPY"
"9001","TOBU RAILWAY LTD","Industrie","Aktien","1.436.323,77","0,04","1.436.323,77","85.600,00","16,78","Japan","Tokyo Stock Exchange","JPY"
"ANIM","ANIMA HOLDING","Financials","Aktien","1.434.177,19","0,04","1.434.177,19","265.090,00","5,41","Italien","Borsa Italiana","EUR"
"RYTM","RHYTHM PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","1.434.159,24","0,04","1.434.159,24","28.932,00","49,57","Vereinigte Staaten","NASDAQ","USD"
"SAM","BOSTON BEER INC CLASS A","Nichtzyklische Konsumgüter","Aktien","1.432.757,70","0,04","1.432.757,70","5.130,00","279,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLC","LENDLEASE GROUP STAPLED UNITS","Immobilien","Aktien","1.432.545,65","0,04","1.432.545,65","349.110,00","4,10","Australien","Asx - All Markets","AUD"
"IVG","IVECO GROUP NV","Industrie","Aktien","1.432.187,12","0,04","1.432.187,12","113.423,00","12,63","Italien","Borsa Italiana","EUR"
"SUN","SULZER AG","Industrie","Aktien","1.431.559,28","0,04","1.431.559,28","9.564,00","149,68","Schweiz","SIX Swiss Exchange","CHF"
"FLT","FLIGHT CENTRE TRAVEL GROUP LTD","Zyklische Konsumgüter ","Aktien","1.429.534,75","0,04","1.429.534,75","94.243,00","15,17","Australien","Asx - All Markets","AUD"
"WU","WESTERN UNION","Financials","Aktien","1.429.498,42","0,04","1.429.498,42","114.727,00","12,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5830","IYOGIN HOLDINGS INC","Financials","Aktien","1.428.765,37","0,04","1.428.765,37","147.600,00","9,68","Japan","Tokyo Stock Exchange","JPY"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","IT","Aktien","1.424.823,96","0,04","1.424.823,96","71.099,00","20,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REY","REPLY","IT","Aktien","1.423.996,22","0,04","1.423.996,22","9.629,00","147,89","Italien","Borsa Italiana","EUR"
"ACVA","ACV AUCTIONS INC CLASS A","Industrie","Aktien","1.423.461,20","0,04","1.423.461,20","77.320,00","18,41","Vereinigte Staaten","NASDAQ","USD"
"PEGA","PEGASYSTEMS INC","IT","Aktien","1.421.816,76","0,04","1.421.816,76","23.828,00","59,67","Vereinigte Staaten","NASDAQ","USD"
"BAKKA","BAKKAFROST","Nichtzyklische Konsumgüter","Aktien","1.420.955,27","0,04","1.420.955,27","27.916,00","50,90","Norwegen","Oslo Bors Asa","NOK"
"LSXMK","LIBERTY MEDIA LIBERTY SIRIUSXM COR","Kommunikation","Aktien","1.419.704,00","0,04","1.419.704,00","64.240,00","22,10","Vereinigte Staaten","NASDAQ","USD"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Immobilien","Aktien","1.418.731,20","0,04","1.418.731,20","295.569,00","4,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SATS","ECHOSTAR CORP CLASS A","Kommunikation","Aktien","1.415.674,30","0,04","1.415.674,30","73.351,00","19,30","Vereinigte Staaten","NASDAQ","USD"
"ANN","ANSELL LTD","Gesundheitsversorgung","Aktien","1.412.110,87","0,04","1.412.110,87","78.949,00","17,89","Australien","Asx - All Markets","AUD"
"3288","OPEN HOUSE GROUP LTD","Zyklische Konsumgüter ","Aktien","1.411.185,05","0,04","1.411.185,05","41.300,00","34,17","Japan","Tokyo Stock Exchange","JPY"
"PRKS","UNITED PARKS AND RESORTS INC","Zyklische Konsumgüter ","Aktien","1.410.835,14","0,04","1.410.835,14","24.154,00","58,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BYG","BIG YELLOW GROUP PLC","Immobilien","Aktien","1.409.040,58","0,04","1.409.040,58","90.605,00","15,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"TNDM","TANDEM DIABETES CARE INC","Gesundheitsversorgung","Aktien","1.408.340,62","0,04","1.408.340,62","32.257,00","43,66","Vereinigte Staaten","NASDAQ","USD"
"TOP","TOPDANMARK","Financials","Aktien","1.406.195,26","0,04","1.406.195,26","26.454,00","53,16","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SXI","STANDEX INTERNATIONAL CORP","Industrie","Aktien","1.405.495,80","0,04","1.405.495,80","7.731,00","181,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RUI","RUBIS","Versorger","Aktien","1.405.280,45","0,04","1.405.280,45","45.825,00","30,67","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ECV1","ENCAVIS V AG","Versorger","Aktien","1.402.674,69","0,03","1.402.674,69","74.886,00","18,73","Deutschland","Xetra","EUR"
"2212","YAMAZAKI BAKING LTD","Nichtzyklische Konsumgüter","Aktien","1.402.888,74","0,03","1.402.888,74","61.500,00","22,81","Japan","Tokyo Stock Exchange","JPY"
"1944","KINDEN CORP","Industrie","Aktien","1.401.220,96","0,03","1.401.220,96","69.700,00","20,10","Japan","Tokyo Stock Exchange","JPY"
"KIND SDB","KINDRED GROUP SDR PLC","Zyklische Konsumgüter ","Aktien","1.399.485,42","0,03","1.399.485,42","118.605,00","11,80","Schweden","Nasdaq Omx Nordic","SEK"
"EBC","EASTERN BANKSHARES INC","Financials","Aktien","1.399.204,53","0,03","1.399.204,53","86.211,00","16,23","Vereinigte Staaten","NASDAQ","USD"
"HHH","HOWARD HUGHES HOLDINGS INC","Immobilien","Aktien","1.399.155,52","0,03","1.399.155,52","19.607,00","71,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARCH","ARCH RESOURCES INC CLASS A","Materialien","Aktien","1.397.871,30","0,03","1.397.871,30","9.205,00","151,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTO","MITIE GROUP PLC","Industrie","Aktien","1.395.929,14","0,03","1.395.929,14","897.619,00","1,56","Vereinigtes Königreich","London Stock Exchange","GBP"
"IGO","IGO LTD","Materialien","Aktien","1.395.019,02","0,03","1.395.019,02","352.620,00","3,96","Australien","Asx - All Markets","AUD"
"CXT","CRANE NXT","IT","Aktien","1.392.972,84","0,03","1.392.972,84","23.522,00","59,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CALM","CAL MAINE FOODS INC","Nichtzyklische Konsumgüter","Aktien","1.392.411,20","0,03","1.392.411,20","21.356,00","65,20","Vereinigte Staaten","NASDAQ","USD"
"NEOEN","NEOEN SA","Versorger","Aktien","1.392.229,11","0,03","1.392.229,11","33.345,00","41,75","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BATRK","ATLANTA BRAVES HOLDINGS INC SERIES","Kommunikation","Aktien","1.391.683,41","0,03","1.391.683,41","32.877,00","42,33","Vereinigte Staaten","NASDAQ","USD"
"DLN","DERWENT LONDON REIT PLC","Immobilien","Aktien","1.391.349,00","0,03","1.391.349,00","48.003,00","28,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"LCII","LCI INDUSTRIES","Zyklische Konsumgüter ","Aktien","1.391.374,26","0,03","1.391.374,26","12.819,00","108,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VCEL","VERICEL CORP","Gesundheitsversorgung","Aktien","1.390.151,62","0,03","1.390.151,62","27.742,00","50,11","Vereinigte Staaten","NASDAQ","USD"
"3269","ADVANCE RESIDENCE INVESTMENT REIT","Immobilien","Aktien","1.388.851,81","0,03","1.388.851,81","685,00","2.027,52","Japan","Tokyo Stock Exchange","JPY"
"SRP","SERCO GROUP PLC","Industrie","Aktien","1.388.500,66","0,03","1.388.500,66","571.799,00","2,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"PATK","PATRICK INDUSTRIES INC","Zyklische Konsumgüter ","Aktien","1.386.856,46","0,03","1.386.856,46","11.759,00","117,94","Vereinigte Staaten","NASDAQ","USD"
"DORM","DORMAN PRODUCTS INC","Zyklische Konsumgüter ","Aktien","1.385.956,25","0,03","1.385.956,25","13.825,00","100,25","Vereinigte Staaten","NASDAQ","USD"
"VPK","KONINKLIJKE VOPAK NV","Energie","Aktien","1.383.994,46","0,03","1.383.994,46","31.442,00","44,02","Niederlande","Euronext Amsterdam","EUR"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrie","Aktien","1.382.331,06","0,03","1.382.331,06","23.666,00","58,41","Vereinigte Staaten","NASDAQ","USD"
"KARN","KARDEX HOLDING AG","Industrie","Aktien","1.382.153,51","0,03","1.382.153,51","5.171,00","267,29","Schweiz","SIX Swiss Exchange","CHF"
"BL","BLACKLINE INC","IT","Aktien","1.381.351,95","0,03","1.381.351,95","29.535,00","46,77","Vereinigte Staaten","NASDAQ","USD"
"ICUI","ICU MEDICAL INC","Gesundheitsversorgung","Aktien","1.380.277,80","0,03","1.380.277,80","11.286,00","122,30","Vereinigte Staaten","NASDAQ","USD"
"9007","ODAKYU ELECTRIC RAILWAY LTD","Industrie","Aktien","1.379.534,12","0,03","1.379.534,12","141.400,00","9,76","Japan","Tokyo Stock Exchange","JPY"
"8233","TAKASHIMAYA LTD","Zyklische Konsumgüter ","Aktien","1.378.943,02","0,03","1.378.943,02","74.300,00","18,56","Japan","Tokyo Stock Exchange","JPY"
"RENE","REN REDES ENERGETICAS NACIONAIS","Versorger","Aktien","1.377.964,08","0,03","1.377.964,08","538.446,00","2,56","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"3086","J.FRONT RETAILING LTD","Zyklische Konsumgüter ","Aktien","1.376.769,31","0,03","1.376.769,31","110.800,00","12,43","Japan","Tokyo Stock Exchange","JPY"
"LXP","LXP INDUSTRIAL TRUST","Immobilien","Aktien","1.375.781,20","0,03","1.375.781,20","137.030,00","10,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
